rank,franchise,team,conference,metric,threshold,qualifying_player_games,meetings,rate_per_100,minimum_meetings,coverage_start,coverage_end,percentage_rank
10,POR,Trail Blazers,West,points,30.0,17,51,33.33333333333333,40,2000-01,2025-26,1
11,SAC,Kings,West,points,30.0,17,52,32.69230769230769,40,2000-01,2025-26,2
12,NOP,Pelicans,West,points,30.0,17,53,32.075471698113205,40,2000-01,2025-26,3
1,NYK,Knicks,East,points,30.0,28,93,30.107526881720432,40,2000-01,2025-26,4
2,WAS,Wizards,East,points,30.0,27,92,29.347826086956523,40,2000-01,2025-26,5
4,PHI,76ers,East,points,30.0,25,91,27.472527472527474,40,2000-01,2025-26,6
18,MEM,Grizzlies,West,points,30.0,14,52,26.923076923076923,40,2000-01,2025-26,7
5,ATL,Hawks,East,points,30.0,25,94,26.595744680851062,40,2000-01,2025-26,8
19,DEN,Nuggets,West,points,30.0,13,49,26.53061224489796,40,2000-01,2025-26,9
3,MIL,Bucks,East,points,30.0,27,103,26.21359223300971,40,2000-01,2025-26,10
20,LAL,Lakers,West,points,30.0,12,50,24.0,40,2000-01,2025-26,11
21,PHX,Suns,West,points,30.0,12,50,24.0,40,2000-01,2025-26,12
22,MIN,Timberwolves,West,points,30.0,12,51,23.52941176470588,40,2000-01,2025-26,13
6,IND,Pacers,East,points,30.0,23,102,22.54901960784314,40,2000-01,2025-26,14
7,DET,Pistons,East,points,30.0,23,103,22.330097087378643,40,2000-01,2025-26,15
8,CHA,Hornets,East,points,30.0,19,88,21.59090909090909,40,2000-01,2025-26,16
23,GSW,Warriors,West,points,30.0,11,51,21.568627450980394,40,2000-01,2025-26,17
9,TOR,Raptors,East,points,30.0,19,94,20.212765957446805,40,2000-01,2025-26,18
24,HOU,Rockets,West,points,30.0,10,50,20.0,40,2000-01,2025-26,19
25,OKC,Thunder,West,points,30.0,10,51,19.607843137254903,40,2000-01,2025-26,20
13,BOS,Celtics,East,points,30.0,17,91,18.681318681318682,40,2000-01,2025-26,21
26,LAC,Clippers,West,points,30.0,9,50,18.0,40,2000-01,2025-26,22
27,DAL,Mavericks,West,points,30.0,9,51,17.647058823529413,40,2000-01,2025-26,23
28,SAS,Spurs,West,points,30.0,9,51,17.647058823529413,40,2000-01,2025-26,24
14,ORL,Magic,East,points,30.0,16,91,17.582417582417584,40,2000-01,2025-26,25
16,BKN,Nets,East,points,30.0,15,91,16.483516483516482,40,2000-01,2025-26,26
17,MIA,Heat,East,points,30.0,15,92,16.304347826086957,40,2000-01,2025-26,27
15,CLE,Cavaliers,East,points,30.0,16,102,15.686274509803921,40,2000-01,2025-26,28
29,UTA,Jazz,West,points,30.0,7,50,14.000000000000002,40,2000-01,2025-26,29
