season,rank,player_id,player,games,minutes,bulls_fga,shot_rows,fgm,fg_pct,efg_pct,three_fga,three_fgm,three_pct,zones_rated,zones_grey,rated_fga_share_pct,min_zone_fga,qualifier,scope
2010-11,1,201565,Derrick Rose,81,3025.8,1597,1597,711,44.5,48.5,385,128,33.2,10,2,98.2,20,300+ Bulls FGA,Chicago attempts only
2010-11,2,2736,Luol Deng,82,3207.9,1155,1155,531,46.0,51.0,333,115,34.5,12,0,99.8,20,300+ Bulls FGA,Chicago attempts only
2010-11,3,2430,Carlos Boozer,59,1881.8,845,845,431,51.0,51.0,0,0,,7,5,100.0,20,300+ Bulls FGA,Chicago attempts only
2010-11,4,2594,Kyle Korver,82,1649.1,557,557,242,43.4,54.2,289,120,41.5,11,1,98.7,20,300+ Bulls FGA,Chicago attempts only
2010-11,5,201959,Taj Gibson,80,1742.2,502,502,234,46.6,46.7,8,1,12.5,7,5,98.4,20,300+ Bulls FGA,Chicago attempts only
2010-11,6,200758,Ronnie Brewer,81,1781.4,427,427,205,48.0,48.7,27,6,22.2,7,5,93.7,20,300+ Bulls FGA,Chicago attempts only
2010-11,7,201149,Joakim Noah,48,1575.5,402,402,211,52.5,52.5,1,0,0.0,3,9,91.3,20,300+ Bulls FGA,Chicago attempts only
2010-11,8,201228,C.J. Watson,82,1090.7,394,394,146,37.1,42.6,112,44,39.3,9,3,89.8,20,300+ Bulls FGA,Chicago attempts only
2010-11,9,2586,Keith Bogans,82,1461.3,307,307,124,40.4,55.0,237,90,38.0,6,6,91.5,20,300+ Bulls FGA,Chicago attempts only
