loc_x,loc_y,shot_made,shot_type,shot_zone,shot_distance,game_id,game_date,shot_zone_area
-37,108,False,2PT,In The Paint (Non-RA),11,0021000266,20101201,Center(C)
-141,1,False,2PT,Mid-Range,14,0021000266,20101201,Left Side(L)
58,105,True,2PT,In The Paint (Non-RA),11,0021000266,20101201,Center(C)
121,123,True,2PT,Mid-Range,17,0021000266,20101201,Right Side Center(RC)
-13,20,False,2PT,Restricted Area,2,0021000266,20101201,Center(C)
-7,0,False,2PT,Restricted Area,0,0021000280,20101203,Center(C)
147,20,False,2PT,Mid-Range,14,0021000280,20101203,Right Side(R)
118,69,True,2PT,Mid-Range,13,0021000280,20101203,Right Side(R)
4,170,False,2PT,Mid-Range,17,0021000280,20101203,Center(C)
-125,9,True,2PT,Mid-Range,12,0021000280,20101203,Left Side(L)
-73,33,False,2PT,In The Paint (Non-RA),8,0021000280,20101203,Left Side(L)
-4,-2,True,2PT,Restricted Area,0,0021000280,20101203,Center(C)
4,-3,True,2PT,Restricted Area,0,0021000280,20101203,Center(C)
-161,11,False,2PT,Mid-Range,16,0021000280,20101203,Left Side(L)
127,151,False,2PT,Mid-Range,19,0021000280,20101203,Right Side Center(RC)
-7,26,False,2PT,Restricted Area,2,0021000290,20101204,Center(C)
15,14,True,2PT,Restricted Area,2,0021000290,20101204,Center(C)
4,14,True,2PT,Restricted Area,1,0021000290,20101204,Center(C)
7,19,True,2PT,Restricted Area,2,0021000290,20101204,Center(C)
39,34,False,2PT,In The Paint (Non-RA),5,0021000290,20101204,Center(C)
-32,104,False,2PT,In The Paint (Non-RA),10,0021000290,20101204,Center(C)
-29,72,False,2PT,In The Paint (Non-RA),7,0021000290,20101204,Center(C)
17,12,False,2PT,Restricted Area,2,0021000290,20101204,Center(C)
-60,123,True,2PT,In The Paint (Non-RA),13,0021000290,20101204,Center(C)
-8,157,True,2PT,Mid-Range,15,0021000290,20101204,Center(C)
18,25,True,2PT,Restricted Area,3,0021000290,20101204,Center(C)
-78,140,True,2PT,Mid-Range,16,0021000290,20101204,Left Side Center(LC)
45,149,False,2PT,Mid-Range,15,0021000290,20101204,Center(C)
-11,22,True,2PT,Restricted Area,2,0021000290,20101204,Center(C)
-8,30,True,2PT,Restricted Area,3,0021000290,20101204,Center(C)
2,181,True,2PT,Mid-Range,18,0021000305,20101206,Center(C)
6,20,True,2PT,Restricted Area,2,0021000305,20101206,Center(C)
15,9,False,2PT,Restricted Area,1,0021000305,20101206,Center(C)
21,25,True,2PT,Restricted Area,3,0021000305,20101206,Center(C)
-5,23,False,2PT,Restricted Area,2,0021000305,20101206,Center(C)
-48,119,True,2PT,In The Paint (Non-RA),12,0021000305,20101206,Center(C)
12,17,True,2PT,Restricted Area,2,0021000305,20101206,Center(C)
26,15,False,2PT,Restricted Area,3,0021000305,20101206,Center(C)
-153,0,False,2PT,Mid-Range,15,0021000305,20101206,Left Side(L)
-149,102,True,2PT,Mid-Range,18,0021000305,20101206,Left Side(L)
-7,33,True,2PT,Restricted Area,3,0021000305,20101206,Center(C)
20,11,True,2PT,Restricted Area,2,0021000305,20101206,Center(C)
-7,26,True,2PT,Restricted Area,2,0021000305,20101206,Center(C)
-86,15,True,2PT,Mid-Range,8,0021000305,20101206,Left Side(L)
-147,11,False,2PT,Mid-Range,14,0021000305,20101206,Left Side(L)
-112,72,True,2PT,Mid-Range,13,0021000305,20101206,Left Side(L)
-19,197,False,2PT,Mid-Range,19,0021000305,20101206,Center(C)
10,15,True,2PT,Restricted Area,1,0021000305,20101206,Center(C)
24,19,True,2PT,Restricted Area,3,0021000305,20101206,Center(C)
-6,20,False,2PT,Restricted Area,2,0021000305,20101206,Center(C)
-59,19,False,2PT,In The Paint (Non-RA),6,0021000305,20101206,Center(C)
-10,195,True,2PT,Mid-Range,19,0021000317,20101208,Center(C)
-123,110,False,2PT,Mid-Range,16,0021000317,20101208,Left Side Center(LC)
171,19,False,2PT,Mid-Range,17,0021000317,20101208,Right Side(R)
-6,33,False,2PT,Restricted Area,3,0021000317,20101208,Center(C)
-152,156,False,2PT,Mid-Range,21,0021000317,20101208,Left Side Center(LC)
-13,42,True,2PT,In The Paint (Non-RA),4,0021000317,20101208,Center(C)
17,7,False,2PT,Restricted Area,1,0021000333,20101210,Center(C)
-10,9,True,2PT,Restricted Area,1,0021000333,20101210,Center(C)
12,19,False,2PT,Restricted Area,2,0021000333,20101210,Center(C)
4,25,True,2PT,Restricted Area,2,0021000333,20101210,Center(C)
-38,75,True,2PT,In The Paint (Non-RA),8,0021000333,20101210,Center(C)
-76,19,False,2PT,In The Paint (Non-RA),7,0021000333,20101210,Center(C)
4,12,False,2PT,Restricted Area,1,0021000333,20101210,Center(C)
26,157,True,2PT,Mid-Range,15,0021000333,20101210,Center(C)
-2,25,True,2PT,Restricted Area,2,0021000333,20101210,Center(C)
-40,4,False,2PT,In The Paint (Non-RA),4,0021000345,20101211,Center(C)
-40,56,False,2PT,In The Paint (Non-RA),6,0021000345,20101211,Center(C)
-4,16,True,2PT,Restricted Area,1,0021000345,20101211,Center(C)
-5,52,False,2PT,In The Paint (Non-RA),5,0021000345,20101211,Center(C)
7,45,False,2PT,In The Paint (Non-RA),4,0021000345,20101211,Center(C)
20,159,False,2PT,Mid-Range,16,0021000345,20101211,Center(C)
29,3,True,2PT,Restricted Area,2,0021000345,20101211,Center(C)
26,6,False,2PT,Restricted Area,2,0021000345,20101211,Center(C)
-2,20,True,2PT,Restricted Area,2,0021000345,20101211,Center(C)
-120,-24,True,2PT,Mid-Range,12,0021000345,20101211,Left Side(L)
15,7,False,2PT,Restricted Area,1,0021000345,20101211,Center(C)
51,211,False,2PT,Mid-Range,21,0021000345,20101211,Center(C)
-10,15,True,2PT,Restricted Area,1,0021000345,20101211,Center(C)
-5,31,False,2PT,Restricted Area,3,0021000345,20101211,Center(C)
-10,20,False,2PT,Restricted Area,2,0021000356,20101213,Center(C)
-7,11,False,2PT,Restricted Area,1,0021000356,20101213,Center(C)
13,17,True,2PT,Restricted Area,2,0021000356,20101213,Center(C)
9,19,True,2PT,Restricted Area,2,0021000356,20101213,Center(C)
0,20,False,2PT,Restricted Area,2,0021000356,20101213,Center(C)
155,31,True,2PT,Mid-Range,15,0021000356,20101213,Right Side(R)
-153,28,True,2PT,Mid-Range,15,0021000356,20101213,Left Side(L)
189,25,False,2PT,Mid-Range,19,0021000356,20101213,Right Side(R)
-32,156,False,2PT,Mid-Range,15,0021000356,20101213,Center(C)
2,12,True,2PT,Restricted Area,1,0021000356,20101213,Center(C)
-3,24,False,2PT,Restricted Area,2,0021000356,20101213,Center(C)
53,142,False,2PT,Mid-Range,15,0021000356,20101213,Center(C)
36,4,False,2PT,Restricted Area,3,0021000356,20101213,Center(C)
0,131,False,2PT,In The Paint (Non-RA),13,0021000356,20101213,Center(C)
-136,50,False,2PT,Mid-Range,14,0021000356,20101213,Left Side(L)
2,12,True,2PT,Restricted Area,1,0021000356,20101213,Center(C)
-27,25,True,2PT,Restricted Area,3,0021000356,20101213,Center(C)
-7,15,True,2PT,Restricted Area,1,0021000356,20101213,Center(C)
-168,80,True,2PT,Mid-Range,18,0021000356,20101213,Left Side(L)
0,17,False,2PT,Restricted Area,1,0021000356,20101213,Center(C)
-37,124,True,2PT,In The Paint (Non-RA),12,0021000356,20101213,Center(C)
20,11,True,2PT,Restricted Area,2,0021000370,20101215,Center(C)
-18,17,True,2PT,Restricted Area,2,0021000370,20101215,Center(C)
